,Product Name,Price,Image,Discount,Delivery
118,Honky Tonky,₹295,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/k/1/0/xl-6084-sheetal-associates-original-imagm86ekphn94e2.jpeg?q=70,85% off,Free delivery
119,Sheetal Associates,₹293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/x/x/u/m-dr11491-sheetal-associates-original-imah3rbhh3p34gfj.jpeg?q=70,78% off,Free delivery
120,Tokyo Talkies,₹464,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/h/x/c/xl-ttj6012084-tokyo-talkies-original-imah724nvffcdhgg.jpeg?q=70,76% off,Free delivery
121,Honky Tonky,₹290,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/b/j/n/xxl-dr11275-sheetal-associates-original-imah2xccygcgjyvv.jpeg?q=70,78% off,Free delivery
122,ZWERLON,₹275,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/u/k/v/s-1001-new-d-zwerlon-original-imah2qgw95hrshvj.jpeg?q=70,86% off,Free delivery
123,ZWERLON,₹381,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/g/u/m/l-a1-zwerlon-original-imah726uqh4fg2ps.jpeg?q=70,80% off,Free delivery
124,Sheetal Associates,₹292,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/c/9/7/s-11774-sheetal-associates-original-imah9m56pyhw4bk6.jpeg?q=70,78% off,Free delivery
125,AAYU,₹395,https://rukminim2.flixcart.com/image/612/612/kvpklu80/dress/r/3/4/s-aa-0119-mauve-boho-long-dress-aayu-original-imag8k648mcxpeud.jpeg?q=70,64% off,Free delivery
126,FKUBE,₹448,https://rukminim2.flixcart.com/image/612/612/l4zxn680/dress/q/6/x/xl-1205nd-nuevosdamas-original-imagfrnfbrydahhj.jpeg?q=70,77% off,Free delivery
127,Sheetal Associates,₹293,https://rukminim2.flixcart.com/image/612/612/xif0q/dress/x/e/9/xl-11777-honky-tonky-original-imah7jm2v6rmgpda.jpeg?q=70,78% off,Free delivery
128,,,,,
129,,,,,
