Product Name,Price,Rating,Image URL
"Hp VICTUS GAMING 15 13TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 3050 (6GB) 15.6""FHD BACKLIT KEY WIN 11","₦ 1,990,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/8811573/1.jpg?1989
Msi Titan 18 Gaming Laptop ( HX A14VIG-088US) Intel Core I9-14900HX,"₦ 9,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/4448404/1.jpg?2168
"DELL INSPIRON GAMING 15 12TH GEN INTEL CORE I7 16GB RAM 1TB SSD RTX 3060 (6GB) 15.6"" WINS 11","₦ 2,400,950","5 out of 5
(1)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/1941132/1.jpg?9325
"Lenovo LEGION 5 GAMING 14TH GEN INTEL CORE I7 5.2GHZ 16GB RAM 1TB SSSD RTX 4060 (8GB) 16""WQXGA WINS 11","₦ 2,955,000","5 out of 5
(2)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/0537104/1.jpg?7346
Hp PAVILION 14 TOUCHSCREEN 12TH GEN INTEL CORE I7 8GB RAM 512GB SSD BACKLIT KEYBOARD WIN 11,"₦ 1,450,000","1 out of 5
(1)",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/1213263/1.jpg?5365
Asus ROG Strix SCAR 18-G834JR-XS97-4090Windows 11 Pro 32GB,"₦ 7,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/6939404/1.jpg?0248
DELL Alienware M18 R2 – Intel® Core™ I9 14900HX,"₦ 7,850,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/3539404/1.jpg?8759
"Hp 15 VICTUS GAMING, 12TH GEN INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA RTX 3050 WINS 11","₦ 1,405,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/8004162/1.jpg?6545
Racer RAZER BLADE 18 RZ09-0509 Intel Core I9-14900HX/16GB NVIDIA RTX 4090,"₦ 7,500,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/2827404/1.jpg?5636
"Hp 15 VICTUS GAMING, INTEL CORE I5, 8GB RAM, 512GB SSD,4GB NVIDIA RTX 2050 WINS 11","₦ 1,325,500",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/2242412/1.jpg?0600
Asus VIVOBOOK PRO 15 INTEL CORE I5 UP TO 4.4GHZ 8GB RAM 512GB SSD NVIDIA 1650 (4GB) WINDOWS 11,"₦ 990,000",N/A,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/5331304/1.jpg?5410
